,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,year,month,Day,Hour
0,Ukiyu Yuuki,Censura??,1,0,,2024-03-24 00:42:30,,,,2024,3,Sunday,0
1,Lucifer Ceallach,"Can't stress enough how much I hate dating sites' paywalls for functions one would expect to be basic functions. Accidentally swiped left on a candidate you think might very actually been a right, and want to go back? 6 month subscription! Want to swipe right on more than 5ish people in a day? Subscription! It's pathetic honestly",3,0,,2024-03-24 00:29:53,"This definitely doesn't sound right, and we're sorry to read about it. Please message our Support Team on Twitter or Facebook (@BumbleSupport), so our team can take a look.",2024-03-24 10:15:53,,2024,3,Sunday,0
2,Milan Kasta,Not even a single match ever after buying unlimited likes. I believe this app is fake. I have tried other apps. You get matches but here! Not a single one and it's not about my profile. I have used other apps as well. This is not the first one m using.,1,0,5.361.0,2024-03-24 00:12:34,"We're sorry to hear about your negative experience! Bumble has a huge community of members from all over the world, and has helped create countless love stories. We understand how frustrating it can be, but we urge you to keep going and not lose hope. We're here to support you on @BumbleSupport! 💛",2024-03-24 10:16:23,5.361.0,2024,3,Sunday,0
3,Lisa “LISSA” D,"Terrible!! Constant reminders that ""you're raking in the likes"" I'm up to 200+ likes but I can't get a match !?! Think it's getting a little obvious that the app is designed not to show me anyone that has liked me until I pay. Don't know why the app doesn't just charge a set up fee? Instead it just leaves us ALL! feeling unwanted.",1,0,5.362.0,2024-03-23 23:58:10,"This definitely doesn't sound right, and we're sorry to read about it. Please message our Support Team on Twitter or Facebook (@BumbleSupport), so our team can take a look.",2024-03-24 10:16:52,5.362.0,2024,3,Saturday,23
4,Rafael John Espanola,All people who are interested in you will just pop out right after you've cancelled your subscription. Nice.,3,0,5.362.0,2024-03-23 23:56:02,"This definitely doesn't sound right, and we're sorry to read about it. Please message our Support Team on Twitter or Facebook (@BumbleSupport), so our team can take a look.",2024-03-24 07:04:54,5.362.0,2024,3,Saturday,23
5,Kamryn Ramirez,"There's this bug that says ""that's all your best bees for today, check back tomorrow."" But uh... it's been a month. Please fix this.",3,0,,2024-03-23 23:39:54,"We want to take a look at this. Please message us at @BumbleSupport on Twitter or Facebook. Or, you can contact us via bumble.com/contact.",2024-03-24 07:04:53,,2024,3,Saturday,23
6,Williams Sylvia,Please unblock my bubble account I subscribed n the next two hours I got blocked is it's also a crime to subscribe or is there something I don't know About the app?,1,0,5.362.0,2024-03-23 23:38:24,"We investigate all reports thoroughly and make decisions based on our Community Guidelines. We don't block anyone from our platform without a valid reason. If you want our team to review your case, please message @BumbleSupport on Twitter or Facebook.",2024-03-24 07:04:23,5.362.0,2024,3,Saturday,23
7,Matthew Calvez,"It's just another scam dating site All are a waste of time and money. No happiness or love, just a monthly bill. No dating wants you to find happiness. It's not good for their bottom line.",1,0,,2024-03-23 22:59:55,"This definitely doesn't sound right, and we're sorry to read about it. Please message our Support Team on Twitter or Facebook (@BumbleSupport), so our team can take a look.",2024-03-24 11:34:54,,2024,3,Saturday,22
8,Musiyo Miro,best,5,0,5.362.0,2024-03-23 22:30:33,We appreciate your kind words. 🙌,2024-03-24 09:17:23,5.362.0,2024,3,Saturday,22
9,Anthony,"Worst Dating App. I don't know why this app has good reviews. But it's far from good. Nearly 5 years on this app, use it for a few hours everyday, and only had 7 matches. 1 match/year after the 1st. In 2019, I earned 2 matches just by creating an account to get my profile shown at the top. And then 2020-2024, it's just been 1 match/year. And women never message me after we've matched? Am I ugly? Or is there something wrong with this app? I paid for a membership in the past, still nothing",1,0,5.362.0,2024-03-23 22:23:09,"We're sorry to hear about your negative experience! Bumble has a huge community of members from all over the world, and has helped create countless love stories. We understand how frustrating it can be, but we urge you to keep going and not lose hope. We're here to support you on @BumbleSupport! 💛",2024-03-24 11:34:52,5.362.0,2024,3,Saturday,22
