,original_title,genres,original_language,production_countries,production_companies,release_date,year,month,Day,budget,revenue,runtime,status,vote_average,vote_count,popularity
0,Avatar(2009),"Action,Adventure,Fantasy,Science Fiction",en,"United States of America,United Kingdom","Ingenious Film Partners,Twentieth Century Fox Film Corporation,Dune Entertainment,Lightstorm Entertainment",2009-12-10,2009,12,Thursday,237000000,2787965087,162.0,Released,7.2,11800,150.437577
1,Pirates of the Caribbean: At World's End(2007),"Adventure,Fantasy,Action",en,United States of America,"Walt Disney Pictures,Jerry Bruckheimer Films,Second Mate Productions",2007-05-19,2007,5,Saturday,300000000,961000000,169.0,Released,6.9,4500,139.082615
2,Spectre(2015),"Action,Adventure,Crime",en,"United Kingdom,United States of America","Columbia Pictures,Danjaq,B24",2015-10-26,2015,10,Monday,245000000,880674609,148.0,Released,6.3,4466,107.376788
3,The Dark Knight Rises(2012),"Action,Crime,Drama,Thriller",en,United States of America,"Legendary Pictures,Warner Bros.,DC Entertainment,Syncopy",2012-07-16,2012,7,Monday,250000000,1084939099,165.0,Released,7.6,9106,112.31295
4,John Carter(2012),"Action,Adventure,Science Fiction",en,United States of America,Walt Disney Pictures,2012-03-07,2012,3,Wednesday,260000000,284139100,132.0,Released,6.1,2124,43.926995
5,Spider-Man 3(2007),"Fantasy,Action,Adventure",en,United States of America,"Columbia Pictures,Laura Ziskin Productions,Marvel Enterprises",2007-05-01,2007,5,Tuesday,258000000,890871626,139.0,Released,5.9,3576,115.699814
6,Tangled(2010),"Animation,Family",en,United States of America,"Walt Disney Pictures,Walt Disney Animation Studios",2010-11-24,2010,11,Wednesday,260000000,591794936,100.0,Released,7.4,3330,48.681969
7,Avengers: Age of Ultron(2015),"Action,Adventure,Science Fiction",en,United States of America,"Marvel Studios,Prime Focus,Revolution Sun Studios",2015-04-22,2015,4,Wednesday,280000000,1405403694,141.0,Released,7.3,6767,134.279229
8,Harry Potter and the Half-Blood Prince(2009),"Adventure,Fantasy,Family",en,"United Kingdom,United States of America","Warner Bros.,Heyday Films",2009-07-07,2009,7,Tuesday,250000000,933959197,153.0,Released,7.4,5293,98.885637
9,Batman v Superman: Dawn of Justice(2016),"Action,Adventure,Fantasy",en,United States of America,"DC Comics,Atlas Entertainment,Warner Bros.,DC Entertainment,Cruel & Unusual Films,RatPac-Dune Entertainment",2016-03-23,2016,3,Wednesday,250000000,873260194,151.0,Released,5.7,7004,155.790452
